Wartosc zmienej X    Wartosc szeregu potegowego    Wartosc szeregu potegowego    Wartosc szeregu potegowego    Wartosc szeregu potegowego
                         w formacie domyslnym       w formacie wykladniczym      w formacie stalopozycyjnym      w formacie zwiezlym
1                                6.35556               6.35555601e+000                     6.3555560
1.1                              7.15403               7.15403461e+000                     7.1540346
1.2                              8.00717               8.00716591e+000                     8.0071659
1.3                              8.94836               8.94836235e+000                     8.9483624
1.4                              9.98638               9.98637581e+000                     9.9863758
1.5                              11.1686               1.11686049e+001                     11.168605
1.6                              12.4437               1.24437199e+001                     12.443720
1.7                              13.8513               1.38512611e+001                     13.851261
1.8                              15.4046               1.54046440e+001                     15.404644
1.9                              17.1586               1.71585541e+001                     17.158554
2                                19.0634               1.90633945e+001                     19.063395
